epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,1466.07,1.38012,0.80963,2.00193,0.95904,0.96727,0.99082,0.84072,1.37386,0.58304,1.89223,0.000951857,0.000951857,0.000951857
67,1486.75,1.34839,0.76964,1.9634,0.98091,0.96101,0.9901,0.83971,1.32379,0.55185,1.86628,0.000940855,0.000940855,0.000940855
68,1507.18,1.29884,0.75244,1.96993,0.97781,0.94962,0.9907,0.84226,1.35029,0.56667,1.88212,0.000929853,0.000929853,0.000929853
69,1527.02,1.36326,0.76458,2.01267,0.93053,0.98484,0.99014,0.84192,1.37846,0.57749,1.95802,0.00091885,0.00091885,0.00091885
70,1546.88,1.37862,0.79709,2.01153,0.95521,0.98236,0.99104,0.84547,1.34187,0.5461,1.92484,0.000907848,0.000907848,0.000907848
71,1566.52,1.27636,0.77222,1.96275,0.97766,0.95847,0.98624,0.83857,1.30862,0.5736,1.91756,0.000896846,0.000896846,0.000896846
72,1586.56,1.30937,0.72417,1.96216,0.98409,0.95641,0.98882,0.85135,1.31026,0.58218,1.86588,0.000885844,0.000885844,0.000885844
73,1606.52,1.30356,0.74939,1.96217,0.95662,0.96117,0.98096,0.83873,1.32465,0.5729,1.87001,0.000874842,0.000874842,0.000874842
74,1626.37,1.25884,0.6877,1.93273,0.98707,0.97496,0.9916,0.84945,1.28115,0.52462,1.86208,0.000863839,0.000863839,0.000863839
75,1646.12,1.29419,0.74508,1.974,0.97296,0.9414,0.98868,0.8548,1.29238,0.5677,1.85881,0.000852837,0.000852837,0.000852837
76,1665.92,1.27246,0.73713,1.94429,0.98829,0.95631,0.99015,0.84551,1.28151,0.56377,1.84689,0.000841835,0.000841835,0.000841835
77,1685.62,1.30669,0.72493,1.95043,0.97629,0.96602,0.99076,0.84377,1.26788,0.53901,1.86632,0.000830833,0.000830833,0.000830833
78,1705.26,1.2839,0.71221,1.95323,0.94452,0.98774,0.98984,0.85348,1.24015,0.53302,1.8377,0.000819831,0.000819831,0.000819831
79,1724.99,1.20919,0.68119,1.92302,0.96146,0.97216,0.9912,0.85859,1.25768,0.57833,1.85714,0.000808828,0.000808828,0.000808828
80,1744.98,1.26224,0.71493,1.92412,0.9325,0.98263,0.98419,0.84152,1.34725,0.57632,1.89829,0.000797826,0.000797826,0.000797826
81,1764.81,1.25802,0.70464,1.93332,0.9284,0.97991,0.9867,0.83109,1.4028,0.60569,1.91397,0.000786824,0.000786824,0.000786824
82,1784.56,1.19992,0.64686,1.90507,0.98798,0.95514,0.99152,0.86458,1.26626,0.54722,1.87695,0.000775822,0.000775822,0.000775822
83,1804.42,1.19285,0.68355,1.92772,0.96781,0.98544,0.99259,0.86202,1.26155,0.51362,1.84755,0.00076482,0.00076482,0.00076482
84,1824.06,1.22225,0.66744,1.91876,0.97889,0.98034,0.99164,0.86065,1.2615,0.50174,1.84672,0.000753817,0.000753817,0.000753817
85,1843.84,1.21308,0.69197,1.91503,0.96037,0.96227,0.98791,0.85463,1.26344,0.55354,1.89693,0.000742815,0.000742815,0.000742815
86,1863.8,1.18928,0.67923,1.9088,0.99489,0.96305,0.99138,0.85916,1.29225,0.52521,1.87059,0.000731813,0.000731813,0.000731813
87,1883.21,1.19093,0.64132,1.91749,0.97741,0.92718,0.98506,0.861,1.22037,0.55386,1.82897,0.000720811,0.000720811,0.000720811
88,1902.76,1.14306,0.62377,1.87639,0.98051,0.97844,0.99156,0.84466,1.32998,0.5145,1.89589,0.000709809,0.000709809,0.000709809
89,1922.26,1.21534,0.68644,1.9117,0.9913,0.96326,0.99144,0.85362,1.26246,0.51237,1.83652,0.000698806,0.000698806,0.000698806
90,1941.69,1.17933,0.64594,1.89495,0.9541,0.97617,0.98976,0.86138,1.2522,0.52809,1.84337,0.000687804,0.000687804,0.000687804
91,1961.19,1.16421,0.65133,1.90616,0.97393,0.97178,0.99105,0.8511,1.25872,0.51811,1.85928,0.000676802,0.000676802,0.000676802
92,1980.62,1.12376,0.64478,1.87871,0.93573,0.98544,0.98836,0.85829,1.25606,0.52731,1.89637,0.0006658,0.0006658,0.0006658
93,2000.08,1.17734,0.65834,1.89262,0.96498,0.98043,0.99059,0.85876,1.28213,0.52734,1.86953,0.000654798,0.000654798,0.000654798
94,2019.55,1.16483,0.63922,1.90692,0.97829,0.96868,0.99214,0.86095,1.25211,0.49621,1.87912,0.000643795,0.000643795,0.000643795
95,2038.99,1.18167,0.63264,1.91916,0.98503,0.96004,0.99242,0.8529,1.26006,0.50796,1.86005,0.000632793,0.000632793,0.000632793
96,2058.43,1.15121,0.6192,1.89275,0.98464,0.95184,0.9897,0.85562,1.26321,0.52825,1.84205,0.000621791,0.000621791,0.000621791
97,2077.96,1.10813,0.63505,1.87437,0.95928,0.97313,0.98912,0.85754,1.26319,0.53185,1.90418,0.000610789,0.000610789,0.000610789
98,2097.41,1.11599,0.61658,1.87701,0.97295,0.95631,0.99038,0.86168,1.24665,0.52882,1.88153,0.000599787,0.000599787,0.000599787
99,2116.68,1.14592,0.61265,1.88244,0.94962,0.98024,0.98863,0.86413,1.19358,0.53012,1.84946,0.000588784,0.000588784,0.000588784
100,2135.91,1.17063,0.62765,1.90028,0.97161,0.97852,0.99109,0.8646,1.23425,0.50385,1.86421,0.000577782,0.000577782,0.000577782
101,2155.17,1.11154,0.63063,1.87709,0.97381,0.94628,0.98988,0.86774,1.2246,0.52295,1.84985,0.00056678,0.00056678,0.00056678
102,2174.43,1.10343,0.60499,1.87016,0.97874,0.97026,0.99041,0.85921,1.24277,0.50468,1.89403,0.000555778,0.000555778,0.000555778
103,2193.58,1.1045,0.62297,1.87028,0.97441,0.97045,0.9918,0.86763,1.22893,0.49876,1.89094,0.000544776,0.000544776,0.000544776
104,2212.97,1.09767,0.61408,1.87301,0.98485,0.96538,0.99092,0.86376,1.20718,0.50028,1.85392,0.000533773,0.000533773,0.000533773
105,2232.07,1.04566,0.57415,1.84626,0.98092,0.96492,0.99167,0.86482,1.23115,0.50801,1.87573,0.000522771,0.000522771,0.000522771
106,2251.24,1.0624,0.57861,1.86281,0.99036,0.96734,0.9931,0.85996,1.26763,0.48453,1.89949,0.000511769,0.000511769,0.000511769
107,2270.42,1.06376,0.57328,1.86974,0.9871,0.97419,0.99357,0.86178,1.22098,0.47668,1.86355,0.000500767,0.000500767,0.000500767
108,2289.64,1.06307,0.58913,1.84684,0.97961,0.95783,0.99157,0.87213,1.22643,0.49248,1.82849,0.000489765,0.000489765,0.000489765
109,2308.9,1.06979,0.60568,1.85042,0.97744,0.97736,0.99328,0.86911,1.20881,0.47557,1.84343,0.000478762,0.000478762,0.000478762
110,2328.21,1.08047,0.58438,1.88126,0.98567,0.98273,0.99389,0.86806,1.20943,0.47164,1.84972,0.00046776,0.00046776,0.00046776
111,2347.46,1.0385,0.57581,1.85826,0.97848,0.98324,0.99387,0.86705,1.20444,0.47931,1.88668,0.000456758,0.000456758,0.000456758
112,2366.71,1.07563,0.58588,1.86402,0.98151,0.97272,0.99407,0.86691,1.19204,0.46444,1.85279,0.000445756,0.000445756,0.000445756
